from_stop_id,to_stop_id,transfer_type,min_transfer_time
5156,5156,2,300
5305,4093,2,0
5305,4187,2,0
5305,4148,2,0
5305,3634,2,0
5305,5305,2,0
5522,5696,2,120
5522,5695,2,120
5522,5697,2,120
5522,5693,2,120
5522,5698,2,120
5522,5700,2,120
5522,5699,2,120
5522,5691,2,120
5522,5701,2,120
5522,3943,2,300
5522,5690,2,300
5522,5522,2,120
5641,3569,2,120
5641,1337,2,120
5641,5030,2,120
5641,3326,2,120
5641,3546,2,120
5641,1361,2,300
5641,3328,2,300
5641,2568,2,300
5641,2550,2,120
5641,5641,2,120
5690,5696,2,300
5690,5695,2,300
5690,5697,2,300
5690,5693,2,300
5690,5522,2,300
5690,5698,2,300
5690,5700,2,300
5690,5699,2,300
5690,5691,2,300
5690,5701,2,300
5690,3943,2,300
5690,5690,2,300
5691,5696,2,120
5691,5695,2,120
5691,5697,2,120
5691,5693,2,120
5691,5522,2,120
5691,5698,2,120
5691,5700,2,120
5691,5699,2,120
5691,5701,2,120
5691,3943,2,300
5691,5690,2,300
5691,5691,2,120
5693,5696,2,120
5693,5695,2,120
5693,5697,2,120
5693,5522,2,120
5693,5698,2,120
5693,5700,2,120
5693,5699,2,120
5693,5691,2,120
5693,5701,2,120
5693,3943,2,300
5693,5690,2,300
5693,5693,2,120
5695,5696,2,120
5695,5697,2,120
5695,5693,2,120
5695,5522,2,120
5695,5698,2,120
5695,5700,2,120
5695,5699,2,120
5695,5691,2,120
5695,5701,2,120
5695,3943,2,300
5695,5690,2,300
5695,5695,2,120
5696,5695,2,120
5696,5697,2,120
5696,5693,2,120
5696,5522,2,120
5696,5698,2,120
5696,5700,2,120
5696,5699,2,120
5696,5691,2,120
5696,5701,2,120
5696,3943,2,300
5696,5690,2,300
5696,5696,2,120
5697,5696,2,120
5697,5695,2,120
5697,5693,2,120
5697,5522,2,120
5697,5698,2,120
5697,5700,2,120
5697,5699,2,120
5697,5691,2,120
5697,5701,2,120
5697,3943,2,300
5697,5690,2,300
5697,5697,2,120
5698,5696,2,120
5698,5695,2,120
5698,5697,2,120
5698,5693,2,120
5698,5522,2,120
5698,5700,2,120
5698,5699,2,120
5698,5691,2,120
5698,5701,2,120
5698,3943,2,300
5698,5690,2,300
5698,5698,2,120
5699,5696,2,120
5699,5695,2,120
5699,5697,2,120
5699,5693,2,120
5699,5522,2,120
5699,5698,2,120
5699,5700,2,120
5699,5691,2,120
5699,5701,2,120
5699,3943,2,300
5699,5690,2,300
5699,5699,2,120
5700,5696,2,120
5700,5695,2,120
5700,5697,2,120
5700,5693,2,120
5700,5522,2,120
5700,5698,2,120
5700,5699,2,120
