stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding
4027,"du Centaure","Pie-XI Sud / du Centaure",46.852426,-71.406313,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4027,0,2
4028,"Castel","Pie-XI Sud / Castel",46.850583,-71.403843,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4028,0,2
4029,"du Corail","Pie-XI Sud / du Corail",46.847638,-71.400817,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4029,0,2
4030,"Pie-XI/4030","Pie-XI Sud / au 1377",46.845736,-71.399067,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4030,0,2
4031,"de l'Amiral","Pie-XI Sud / de l'Amiral",46.843623,-71.396515,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4031,0,2
4032,"Ste-Geneviève","Pie-XI Sud / Sainte-Geneviève",46.839867,-71.394879,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4032,0,2
4035,"du Vignoble/4035","du Bourg-Royal / du Vignoble",46.873427,-71.240755,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4035,0,2
4036,"de Grandlieu","du Bourg-Royal / de Grandlieu",46.871075,-71.238518,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4036,0,2
4037,"Marmen","du Bourg-Royal / Marmen",46.867131,-71.232129,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4037,0,2
4038,"Louis-XIV/4038","Cloutier / Louis-XIV",46.857381,-71.275459,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4038,0,2
4040,"A.-Rouleau","Sainte-Foy / A.-Rouleau",46.758802,-71.33752,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4040,0,2
4042,"E.-Blondin/4042","E.-Blondin / au 1268",46.747641,-71.360055,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4042,0,2
4043,"Prom-Soeurs/4043","E.-Blondin / de la P.-Soeurs",46.747037,-71.359064,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4043,0,2
4044,"St-Séb./4044","de la P.-Soeurs / Saint-Sébastien",46.751392,-71.369618,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4044,0,2
4045,"J.C.-Cantin/4045","de la P.-Soeurs / J.-C.-Cantin",46.750366,-71.37091,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4045,0,2
4046,"Gr.-Marées/4046","des Clercs / des Grandes-Marées",46.744306,-71.366899,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4046,0,2
4047,"Gr.-Marées/4047","des Grandes-Marées / face au 1335",46.742666,-71.364871,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4047,0,2
4048,"Escoffier","des Grandes-Marées / Escoffier",46.741055,-71.362555,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4048,0,2
4049,"Prom-Soeurs/4049","des Clercs / de la P.-Soeurs",46.746007,-71.364414,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4049,0,2
4050,"St-Séb./4050","de la P.-Soeurs / Saint-Sébastien",46.751087,-71.369534,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4050,0,2
3825,"La Seigneurie","Seigneuriale / du Cénacle",46.871327,-71.193999,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3825,0,2
3826,"Coubertin","Seigneuriale / Coubertin",46.868525,-71.193084,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3826,0,2
3827,"Perrier","Seigneuriale / Perrier",46.867339,-71.192951,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3827,0,2
3828,"Seign./3828","Seigneuriale / face au 100",46.86457,-71.192587,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3828,0,2
3829,"des Cascades","Seigneuriale / des Cascades",46.862574,-71.192391,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3829,0,2
3830,"Royale","Seigneuriale / Royale",46.860211,-71.191875,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3830,0,2
3831,"Clemenceau","Saint-David / Clemenceau",46.864133,-71.214626,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3831,0,2
3832,"A.-Chrétien","Saint-David / A.-Chrétien",46.866104,-71.216476,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3832,0,2
3833,"A.-Dufresne","B.-Lamontagne / A.-Dufresne",46.870719,-71.220829,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3833,0,2
3834,"du Harfang","A.-Dufresne / du Harfang",46.872494,-71.217667,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3834,0,2
3835,"J.-Giffard","du Harfang / J.-Giffard",46.873651,-71.218259,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3835,0,2
3836,"Latreille/3836","Lespérance / Latreille",46.846253,-71.302834,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3836,0,2
3838,"des Alleghanys","des Cordillères / des Alleghanys",46.878345,-71.198314,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3838,0,2
3839,"Ardouin","des Alleghanys / Ardouin",46.880667,-71.199486,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3839,0,2
3840,"l'Hôpital/3840","Louis-IX / de l'Hôpital",46.847044,-71.361129,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3840,0,2
3841,"de Fenouillet","des Chasseurs / J.-B.-Forsyth",46.751126,-71.364365,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3841,0,2
3842,"Rébecca","des Chasseurs / Rébecca",46.75263,-71.366614,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3842,0,2
3843,"Ardouin","A.-Paris / Ardouin",46.883259,-71.18443,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3843,0,2
3845,"Socrate","du Ruisseau / Socrate",46.887893,-71.200721,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3845,0,2
3847,"de Natashquan","Raymond / de Natashquan",46.892941,-71.190144,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3847,0,2
3848,"J.-Monoloy","Raymond / J.-Monoloy",46.895135,-71.190369,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3848,0,2
3849,"St-Michel","Raymond / Saint-Michel",46.897716,-71.190573,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3849,0,2
3852,"Bertrand","Louis-XIV / Bertrand",46.899318,-71.19041,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3852,0,2
3854,"Saucier","Saint-Michel / Saucier",46.892332,-71.204467,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3854,0,2
3855,"Perroteau","Saint-Michel / Perroteau",46.892825,-71.201888,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3855,0,2
3856,"Chantovent","Saint-Michel / Chantovent",46.893518,-71.198878,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3856,0,2
